pop	genome	time_index	left_time_boundary	right_time_boundary	lambda
west	arcticfox	16	5.28514e-4	6.58035e-4	970.753
west	arcticfox	17	6.58035e-4	8.18239e-4	981.077
west	arcticfox	18	8.18239e-4	0.0010164	974.869
west	arcticfox	19	0.0010164	0.0012615	947.04
west	arcticfox	20	0.0012615	0.00156466	897.721
west	arcticfox	21	0.00156466	0.00193965	830.672
west	arcticfox	22	0.00193965	0.00240347	751.723
west	arcticfox	23	0.00240347	0.00297717	667.44
west	arcticfox	24	0.00297717	0.00368678	583.916
west	arcticfox	25	0.00368678	0.0045645	504.656
west	arcticfox	26	0.0045645	0.00565015	429.756
west	arcticfox	27	0.00565015	0.006993	323.046
west	arcticfox	28	0.006993	0.00865396	323.046
west	arcticfox	29	0.00865396	0.0107084	65.1932
west	arcticfox	30	0.0107084	0.0132496	65.1932
west	arcticfox	31	0.0132496	Inf	65.1932
west	canfam4	0	0	4.27829e-6	1.02997
west	canfam4	1	4.27829e-6	9.57011e-6	1.02997
west	canfam4	2	9.57011e-6	1.61156e-5	0.922895
west	canfam4	3	1.61156e-5	2.42117e-5	0.966329
west	canfam4	4	2.42117e-5	3.42257e-5	68.2199
west	canfam4	5	3.42257e-5	4.66122e-5	687.153
west	canfam4	6	4.66122e-5	6.19329e-5	1134.48
west	canfam4	7	6.19329e-5	8.08833e-5	1126.93
west	canfam4	8	8.08833e-5	1.04323e-4	1060.51
west	canfam4	9	1.04323e-4	1.33315e-4	1005.1
west	canfam4	10	1.33315e-4	1.69176e-4	975.664
west	canfam4	11	1.69176e-4	2.13533e-4	961.713
west	canfam4	12	2.13533e-4	2.68397e-4	951.365
west	canfam4	13	2.68397e-4	3.36259e-4	943.902
west	canfam4	14	3.36259e-4	4.20198e-4	944.59
west	canfam4	15	4.20198e-4	5.24022e-4	954.815
west	canfam4	16	5.24022e-4	6.52442e-4	969.193
west	canfam4	17	6.52442e-4	8.11285e-4	978.76
west	canfam4	18	8.11285e-4	0.00100776	974.08
west	canfam4	19	0.00100776	0.00125078	947.975
west	canfam4	20	0.00125078	0.00155136	898.539
west	canfam4	21	0.00155136	0.00192316	830.106
west	canfam4	22	0.00192316	0.00238304	750.502
west	canfam4	23	0.00238304	0.00295187	667.937
west	canfam4	24	0.00295187	0.00365545	589.655
west	canfam4	25	0.00365545	0.00452571	522.03
west	canfam4	26	0.00452571	0.00560213	470.988
west	canfam4	27	0.00560213	0.00693357	466.012
west	canfam4	28	0.00693357	0.00858042	466.012
west	canfam4	29	0.00858042	0.0106174	24.24
west	canfam4	30	0.0106174	0.013137	24.24
west	canfam4	31	0.013137	Inf	24.24
